CommunityID	Keywords	TF	DF	TF-IDF	Sigma
0	PRODUCT DEVELOPMENT	0.0444	0.0254	0.1633	1.8211
0	E-PROCUREMENT	0.0044	0.0011	0.0303	1.5105
0	INDUSTRIALIZATION	0.0133	0.0033	0.0762	2.6192
0	UNCERTAINTY	0.0044	0.0033	0.0254	0.2970
0	SUPPLY CHAIN MANAGEMENT	0.0622	0.0970	0.1452	-1.7636
0	PATH DEPENDENCIES	0.0222	0.0088	0.1051	2.1500
0	PRODUCT VARIETY	0.0089	0.0055	0.0462	0.6840
0	DEMAND	0.0044	0.0011	0.0303	1.5105
0	JOB DESIGN	0.0044	0.0055	0.0231	-0.2164
0	SYSTEM DYNAMICS	0.0044	0.0022	0.0272	0.7161
0	PRODUCT-LINE	0.0044	0.0011	0.0303	1.5105
0	KNOWLEDGE MANAGEMENT	0.0044	0.0033	0.0254	0.2970
0	INFORMATION TECHNOLOGY ADOPTION	0.0044	0.0066	0.0223	-0.4017
0	SUPPLY MANAGEMENT	0.0044	0.0154	0.0185	-1.3374
0	METRICS	0.0089	0.0099	0.0410	-0.1565
0	TWO-STAGE OPTIMIZATION	0.0133	0.0033	0.0762	2.6192
0	BEHAVIORAL THEORY	0.0044	0.0033	0.0254	0.2970
0	IT SERVICE MANAGEMENT AND DESIGN	0.0044	0.0011	0.0303	1.5105
0	OM-MARKETING INTERFACE	0.0044	0.0011	0.0303	1.5105
0	VALUE OF INFORMATION TECHNOLOGY	0.0044	0.0011	0.0303	1.5105
0	LABOR PRODUCTIVITY	0.0044	0.0033	0.0254	0.2970
0	FIT	0.0089	0.0066	0.0446	0.4207
0	MANUFACTURING PRACTICES	0.0178	0.0077	0.0865	1.7244
0	SECONDARY DATA	0.0311	0.0121	0.1373	2.6015
0	OPERATIONS MANAGEMENT	0.0444	0.0364	0.1473	0.6457
0	THEORY DEVELOPMENT	0.0578	0.0243	0.2149	3.2685
0	COMPETITIVE ADVANTAGE	0.0089	0.0022	0.0544	2.1374
0	PROCUREMENT INTEGRATION COMPETENCE	0.0044	0.0011	0.0303	1.5105
0	RISK-POOLING	0.0133	0.0033	0.0762	2.6192
0	PLATFORM TECHNOLOGY	0.0044	0.0011	0.0303	1.5105
0	INNOVATION CAPABILITY	0.0133	0.0143	0.0566	-0.1262
0	TECHNOLOGY	0.0178	0.0132	0.0769	0.5970
0	BASE STOCK POLICIES	0.0044	0.0011	0.0303	1.5105
0	MIS-OPERATIONS INTERFACE	0.0044	0.0022	0.0272	0.7161
0	HEALTHCARE	0.0044	0.0055	0.0231	-0.2164
0	SHORT PRODUCT LIFE CYCLES	0.0044	0.0022	0.0272	0.7161
0	THEORY OF PERFORMANCE FRONTIERS	0.0089	0.0099	0.0410	-0.1565
0	TAXONOMY	0.0311	0.0441	0.0971	-0.9490
0	EMPIRICAL RESEARCH	0.1956	0.2381	0.2806	-1.4999
0	PRODUCT CONFORMANCE	0.0311	0.0088	0.1472	3.5760
0	EXPLOITATION	0.0044	0.0154	0.0185	-1.3374
0	WORKING CAPITAL	0.0044	0.0033	0.0254	0.2970
0	COMPETING RISK HAZARD FUNCTION MODEL	0.0311	0.0088	0.1472	3.5760
0	MAINTENANCE AND RELIABILITY	0.0044	0.0033	0.0254	0.2970
0	LEAN PRODUCTION	0.0044	0.0066	0.0223	-0.4017
0	COMPETITIVE CAPABILITIES	0.0578	0.0364	0.1915	1.7139
0	MULTIFUNCTION PRODUCTS	0.0044	0.0011	0.0303	1.5105
0	COMPLEXITY	0.0044	0.0044	0.0241	0.0078
0	MULTIPLE METHODS	0.0044	0.0066	0.0223	-0.4017
0	STRONG INFERENCE	0.0044	0.0011	0.0303	1.5105
0	STRUCTURAL THEORY	0.0044	0.0022	0.0272	0.7161
0	EBUSINESS TECHNOLOGIES	0.0044	0.0022	0.0272	0.7161
0	THEORY BUILDING	0.0178	0.0176	0.0718	0.0156
0	CONSTRAINING-FACTOR MODEL	0.0044	0.0011	0.0303	1.5105
0	INFORMATION SHARING	0.0044	0.0033	0.0254	0.2970
0	BUSINESS PERFORMANCE	0.0044	0.0198	0.0174	-1.6564
0	OUTSOURCING	0.0089	0.0187	0.0354	-1.0899
0	MARKETING/MANUFACTURING INTERFACE	0.0222	0.0077	0.1081	2.4862
0	EXPLORATION	0.0044	0.0154	0.0185	-1.3374
0	GUSHER	0.0133	0.0055	0.0693	1.5844
0	INDUSTRY EXCHANGE	0.0044	0.0011	0.0303	1.5105
0	PRODUCT COCREATION	0.0044	0.0011	0.0303	1.5105
0	CUSTOMER SERVICE	0.0044	0.0011	0.0303	1.5105
0	VOLUME FLEXIBILITY	0.0178	0.0077	0.0865	1.7244
0	PRODUCT PORTFOLIO COMPLEXITY	0.0222	0.0077	0.1081	2.4862
0	E-SERVICES	0.0044	0.0033	0.0254	0.2970
0	ORGANIZATION	0.0044	0.0011	0.0303	1.5105
0	CAPABILITY DEVELOPMENT	0.0044	0.0022	0.0272	0.7161
0	BUSINESS SYSTEMS	0.0178	0.0066	0.0892	2.0655
0	PRODUCT FAMILIARITY	0.0044	0.0011	0.0303	1.5105
0	EMPIRICAL RESEARCH METHODS	0.0311	0.0331	0.1061	-0.1648
0	ASSEMBLE-TO-ORDER SYSTEMS	0.0044	0.0011	0.0303	1.5105
0	MODERATED POLYNOMIAL REGRESSION	0.0044	0.0022	0.0272	0.7161
0	AREAS FOR FUTURE RESEARCH	0.0356	0.0143	0.1509	2.6783
0	CHARLES BABBAGE	0.0133	0.0033	0.0762	2.6192
0	METAPHOR	0.0044	0.0022	0.0272	0.7161
0	DISSOLUTION	0.0044	0.0022	0.0272	0.7161
0	MODULAR PRODUCTS	0.0044	0.0011	0.0303	1.5105
0	OPERATIONS	0.0089	0.0077	0.0432	0.2007
0	PRICE COMPETITION	0.0044	0.0022	0.0272	0.7161
0	PRODUCT VARIETY MANAGEMENT	0.0044	0.0011	0.0303	1.5105
0	INDIVIDUALISM/COLLECTIVISM	0.0089	0.0088	0.0421	0.0110
0	CITATION ANALYSIS	0.0133	0.0088	0.0631	0.7240
0	RESOURCE-BASED VIEW OF THE FIRM	0.0089	0.0088	0.0421	0.0110
0	OPERATIONS-MARKETING INTERFACE	0.0044	0.0011	0.0303	1.5105
0	ASSORTMENT OPTIMIZATION	0.0044	0.0011	0.0303	1.5105
0	CONTINGENCY	0.0044	0.0055	0.0231	-0.2164
